period,n_speeches,n_speakers,is_sparse,mean_log_words,share_truncated,att_pi,att_y,att_fs,att_unc,att_pi_corr,att_y_corr,att_fs_corr,att_unc_corr,vol_pi,vol_y,vol_fs,vol_unc,out_pi,disp_pi,polar_pi,share_up_pi,share_down_pi,out_y,disp_y,polar_y,share_up_y,share_down_y
1999Q1,20.0,6.0,False,8.231371099903416,1.0,0.95,0.85,0.4,0.45,0.9411764705882352,0.8249999999999998,0.4,0.45,19.0,17.0,8.0,9.0,-0.15789473684210525,0.37463432463267754,0.0,0.0,0.15789473684210525,0.23529411764705882,0.6642111641550714,0.5,0.35294117647058826,0.11764705882352941
1999Q2,27.0,6.0,False,8.176376058310016,0.7777777777777778,0.8148148148148148,0.8888888888888888,0.18518518518518517,0.2962962962962963,0.7821350762527232,0.8703703703703702,0.18518518518518517,0.2962962962962963,22.0,24.0,5.0,8.0,-0.2727272727272727,0.4558423058385518,0.0,0.0,0.2727272727272727,0.4166666666666667,0.5835920751217648,0.16666666666666666,0.4583333333333333,0.041666666666666664
1999Q3,18.0,6.0,False,8.121774653085248,0.8888888888888888,0.7222222222222222,0.7777777777777778,0.3888888888888889,0.1111111111111111,0.6732026143790849,0.7407407407407407,0.3888888888888889,0.1111111111111111,13.0,14.0,7.0,2.0,-0.15384615384615385,0.5547001962252291,0.5,0.07692307692307693,0.23076923076923078,0.35714285714285715,0.633323693776651,0.2857142857142857,0.42857142857142855,0.07142857142857142
1999Q4,27.0,6.0,False,8.04099125906592,0.8148148148148148,1.0,0.8888888888888888,0.2962962962962963,0.48148148148148145,0.9999999999999999,0.8703703703703702,0.2962962962962963,0.48148148148148145,27.0,24.0,8.0,13.0,0.1111111111111111,0.5063696835418333,0.5714285714285714,0.18518518518518517,0.07407407407407407,0.5833333333333334,0.5036101551853349,0.0,0.5833333333333334,0.0
2000Q1,14.0,5.0,False,8.073865125535844,0.8571428571428571,0.9285714285714286,1.0,0.14285714285714285,0.5,0.9159663865546218,0.9999999999999999,0.14285714285714285,0.5,13.0,14.0,2.0,7.0,0.38461538461538464,0.5063696835418333,0.0,0.38461538461538464,0.0,0.5,0.6504436355879909,0.2222222222222222,0.5714285714285714,0.07142857142857142
2000Q2,16.0,6.0,False,8.35977388783742,0.9375,0.625,0.6875,0.3125,0.4375,0.5588235294117646,0.6354166666666665,0.3125,0.4375,10.0,11.0,5.0,7.0,0.2,0.7888106377466155,0.6666666666666666,0.4,0.2,0.7272727272727273,0.6466697906828633,0.2,0.8181818181818182,0.09090909090909091
2000Q3,17.0,5.0,False,8.193126939637233,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.35294117647058826,0.4117647058823529,0.792387543252595,0.7254901960784312,0.35294117647058826,0.4117647058823529,14.0,13.0,6.0,7.0,0.2857142857142857,0.4688072309384954,0.0,0.2857142857142857,0.0,0.23076923076923078,0.599144689515278,0.4,0.3076923076923077,0.07692307692307693
2000Q4,21.0,6.0,False,7.998907385076665,0.8571428571428571,0.7619047619047619,0.6666666666666666,0.19047619047619047,0.3333333333333333,0.7198879551820727,0.6111111111111109,0.19047619047619047,0.3333333333333333,16.0,14.0,4.0,7.0,0.0625,0.5737304826019501,0.8,0.1875,0.125,0.9285714285714286,0.26726124191242434,0.0,0.9285714285714286,0.0
2001Q1,14.0,5.0,False,8.08981201404051,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.6638655462184874,0.8333333333333331,0.2857142857142857,0.42857142857142855,10.0,12.0,4.0,6.0,-0.5,0.5270462766947299,0.0,0.0,0.5,0.6666666666666666,0.6513389472789295,0.2,0.75,0.08333333333333333
2001Q2,16.0,5.0,False,8.07126947083069,0.75,0.625,0.6875,0.375,0.5,0.5588235294117646,0.6354166666666665,0.375,0.5,10.0,11.0,6.0,8.0,-0.5,0.5270462766947299,0.0,0.0,0.5,0.18181818181818182,0.7507571935295484,0.6666666666666666,0.36363636363636365,0.18181818181818182
