period,n_speeches,n_speakers,is_sparse,mean_log_words,share_truncated,att_pi,att_y,att_fs,att_unc,att_pi_corr,att_y_corr,att_fs_corr,att_unc_corr,vol_pi,vol_y,vol_fs,vol_unc,out_pi,disp_pi,polar_pi,share_up_pi,share_down_pi,out_y,disp_y,polar_y,share_up_y,share_down_y
1999-01,6,3,False,8.47236650225676,1.0,1.0,0.8333333333333334,0.3333333333333333,0.5,0.9999999999999999,0.8055555555555555,0.3333333333333333,0.5,6.0,5.0,2.0,3.0,-0.16666666666666666,0.408248290463863,0.0,0.0,0.16666666666666666,0.2,0.44721359549995804,0.0,0.2,0.0
1999-02,8,4,False,8.212436833145155,1.0,1.0,0.875,0.25,0.625,0.9999999999999999,0.8541666666666665,0.25,0.625,8.0,7.0,2.0,5.0,0.0,0.0,,0.0,0.0,0.42857142857142855,0.5345224838248487,0.0,0.42857142857142855,0.0
1999-03,10,4,False,7.96279304564788,0.9,0.9,0.8,0.5,0.3,0.8823529411764705,0.7666666666666666,0.5,0.3,9.0,8.0,5.0,3.0,-0.2222222222222222,0.44095855184409843,0.0,0.0,0.2222222222222222,0.0,0.7559289460184544,1.0,0.25,0.25
1999-04,7,5,False,8.275922220227363,0.5714285714285714,0.8571428571428571,1.0,0.14285714285714285,0.2857142857142857,0.8319327731092435,0.9999999999999999,0.14285714285714285,0.2857142857142857,6.0,7.0,1.0,2.0,-0.3333333333333333,0.5163977794943223,0.0,0.0,0.3333333333333333,0.2857142857142857,0.7559289460184544,0.5,0.42857142857142855,0.14285714285714285
1999-05,12,6,False,8.240271749573386,1.0,0.9166666666666666,0.8333333333333334,0.25,0.3333333333333333,0.9019607843137253,0.8055555555555555,0.25,0.3333333333333333,11.0,10.0,3.0,4.0,-0.18181818181818182,0.40451991747794525,0.0,0.0,0.18181818181818182,0.6,0.5163977794943222,0.0,0.6,0.0
1999-06,11,6,False,8.107490758387856,0.7272727272727273,0.7272727272727273,0.9090909090909091,0.18181818181818182,0.2727272727272727,0.6791443850267379,0.8939393939393938,0.18181818181818182,0.2727272727272727,8.0,10.0,2.0,3.0,-0.25,0.4629100498862757,0.0,0.0,0.25,0.4,0.5163977794943223,0.0,0.4,0.0
1999-07,6,3,False,7.904448728310871,0.8333333333333334,0.6666666666666666,1.0,0.16666666666666666,0.0,0.6078431372549018,0.9999999999999999,0.16666666666666666,0.0,4.0,6.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.5,0.5477225575051661,0.0,0.5,0.0
1999-08,2,2,True,8.152252711467103,1.0,0.5,0.5,0.0,0.5,0.41176470588235287,0.4166666666666666,0.0,0.5,1.0,1.0,0.0,1.0,-1.0,,0.0,0.0,1.0,1.0,,0.0,1.0,0.0
1999-09,13,6,False,8.246585804372424,0.9230769230769231,0.7692307692307693,0.7692307692307693,0.5384615384615384,0.15384615384615385,0.7285067873303167,0.7307692307692307,0.5384615384615384,0.15384615384615385,10.0,10.0,7.0,2.0,-0.3,0.6749485577105528,0.4,0.1,0.4,0.2,0.7888106377466155,0.6666666666666666,0.4,0.2
1999-10,9,4,False,8.123332641760102,1.0,0.8888888888888888,0.8888888888888888,0.3333333333333333,0.6666666666666666,0.8692810457516338,0.8703703703703702,0.3333333333333333,0.6666666666666666,8.0,8.0,3.0,6.0,0.125,0.3535533905932738,0.0,0.125,0.0,0.625,0.5175491695067657,0.0,0.625,0.0
