period,att_pi,out_pi,att_y,out_y,att_fs,att_unc
1999Q1,0.75,0.1111111111111111,0.75,0.2222222222222222,0.4583333333333333,0.2916666666666667
1999Q2,0.8,0.5,0.8333333333333334,0.32,0.2,0.26666666666666666
1999Q3,0.5714285714285714,0.16666666666666666,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.3333333333333333
1999Q4,0.8,0.4166666666666667,0.8666666666666667,0.5769230769230769,0.3333333333333333,0.43333333333333335
2000Q1,0.875,0.5,0.875,0.7142857142857143,0.4375,0.4375
2000Q2,0.6666666666666666,0.3333333333333333,0.7222222222222222,0.5384615384615384,0.5,0.4444444444444444
2000Q3,0.8823529411764706,0.4666666666666667,0.8235294117647058,0.7142857142857143,0.5294117647058824,0.6470588235294118
2000Q4,0.8095238095238095,0.4117647058823529,0.8095238095238095,0.7058823529411765,0.3333333333333333,0.38095238095238093
2001Q1,0.7058823529411765,0.16666666666666666,0.7058823529411765,0.3333333333333333,0.35294117647058826,0.29411764705882354
2001Q2,0.5263157894736842,0.4,0.5789473684210527,0.2727272727272727,0.3157894736842105,0.3684210526315789
2001Q3,0.5333333333333333,0.375,0.4666666666666667,-0.14285714285714285,0.3333333333333333,0.13333333333333333
2001Q4,0.7272727272727273,-0.125,0.8181818181818182,0.1111111111111111,0.5454545454545454,0.22727272727272727
2002Q1,0.5714285714285714,0.16666666666666666,0.8095238095238095,0.5294117647058824,0.6190476190476191,0.42857142857142855
2002Q2,0.5555555555555556,0.1,0.6111111111111112,0.7272727272727273,0.6111111111111112,0.4444444444444444
2002Q3,0.625,0.2,0.625,-0.2,0.5,0.625
2002Q4,0.7894736842105263,-0.06666666666666667,1.0,0.2631578947368421,0.6842105263157895,0.47368421052631576
2003Q1,0.8571428571428571,0.0,0.8571428571428571,0.08333333333333333,0.2857142857142857,0.42857142857142855
2003Q2,0.6,0.3333333333333333,0.8,0.1875,0.55,0.3
2003Q3,0.7272727272727273,0.125,0.8181818181818182,0.4444444444444444,0.5454545454545454,0.45454545454545453
2003Q4,0.5769230769230769,0.06666666666666667,0.7307692307692307,0.21052631578947367,0.4230769230769231,0.38461538461538464
2004Q1,0.5,0.125,0.875,0.8571428571428571,0.8125,0.25
2004Q2,0.6666666666666666,0.0,0.8055555555555556,0.6551724137931034,0.6111111111111112,0.3611111111111111
2004Q3,0.6,0.7777777777777778,0.8,0.5,0.4,0.26666666666666666
2004Q4,0.7647058823529411,0.34615384615384615,0.7352941176470589,0.6,0.3235294117647059,0.2647058823529412
2005Q1,0.42105263157894735,0.125,0.631578947368421,0.6666666666666666,0.3684210526315789,0.42105263157894735
2005Q2,0.6666666666666666,0.4,0.8666666666666667,0.5769230769230769,0.36666666666666664,0.4666666666666667
2005Q3,0.6,0.8888888888888888,0.8,0.6666666666666666,0.6,0.26666666666666666
2005Q4,0.4444444444444444,0.4166666666666667,0.8148148148148148,0.5454545454545454,0.6666666666666666,0.4074074074074074
2006Q1,0.6190476190476191,0.5384615384615384,0.8571428571428571,0.6666666666666666,0.47619047619047616,0.38095238095238093
2006Q2,0.4375,0.6428571428571429,0.875,0.6071428571428571,0.5,0.40625
2006Q3,0.47058823529411764,0.375,0.8823529411764706,0.7333333333333333,0.5882352941176471,0.4117647058823529
2006Q4,0.625,0.6,0.71875,0.6956521739130435,0.5,0.53125
2007Q1,0.5,0.3076923076923077,0.6923076923076923,0.7777777777777778,0.5,0.23076923076923078
2007Q2,0.5882352941176471,0.55,0.9117647058823529,0.5161290322580645,0.6176470588235294,0.35294117647058826
2007Q3,0.6296296296296297,0.35294117647058826,0.7037037037037037,0.42105263157894735,0.3333333333333333,0.2962962962962963
2007Q4,0.5789473684210527,0.5,0.8157894736842105,0.4838709677419355,0.631578947368421,0.47368421052631576
2008Q1,0.5806451612903226,0.5555555555555556,0.7419354838709677,0.5217391304347826,0.5161290322580645,0.41935483870967744
2008Q2,0.6521739130434783,0.5,0.8043478260869565,0.5405405405405406,0.6086956521739131,0.43478260869565216
2008Q3,0.4827586206896552,0.6428571428571429,0.7241379310344828,0.42857142857142855,0.7241379310344828,0.5862068965517241
2008Q4,0.6571428571428571,0.17391304347826086,0.8285714285714286,0.034482758620689655,0.7714285714285715,0.7142857142857143
2009Q1,0.6071428571428571,0.0,0.8571428571428571,0.125,0.75,0.6071428571428571
2009Q2,0.6666666666666666,0.041666666666666664,0.6666666666666666,0.16666666666666666,0.8055555555555556,0.6666666666666666
2009Q3,0.47619047619047616,0.1,0.8095238095238095,0.6470588235294118,0.8571428571428571,0.6190476190476191
2009Q4,0.5151515151515151,0.23529411764705882,0.8787878787878788,0.5172413793103449,0.9090909090909091,0.7575757575757576
2010Q1,0.56,0.2857142857142857,0.72,0.5555555555555556,0.84,0.64
2010Q2,0.5238095238095238,0.22727272727272727,0.7857142857142857,0.5151515151515151,0.8571428571428571,0.5952380952380952
2010Q3,0.375,0.2222222222222222,0.7916666666666666,0.42105263157894735,0.8333333333333334,0.7083333333333334
2010Q4,0.6111111111111112,0.0,0.75,0.48148148148148145,0.75,0.3888888888888889
2011Q1,0.59375,0.47368421052631576,0.6875,0.5909090909090909,0.71875,0.4375
2011Q2,0.6078431372549019,0.3548387096774194,0.7647058823529411,0.48717948717948717,0.7254901960784313,0.5490196078431373
2011Q3,0.35714285714285715,0.4,0.7857142857142857,0.5454545454545454,0.7142857142857143,0.5714285714285714
2011Q4,0.6571428571428571,0.08695652173913043,0.8285714285714286,0.3103448275862069,0.9142857142857143,0.5142857142857142
2012Q1,0.5384615384615384,0.2857142857142857,0.7692307692307693,-0.1,0.7692307692307693,0.46153846153846156
2012Q2,0.6,0.23809523809523808,0.7428571428571429,0.19230769230769232,0.8285714285714286,0.7428571428571429
